Id,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSF,SalePriceLog,T_garage,T_Overall,target
24,1060,0,0,1,3,4,4,3,840.0,0.0,2,6,1.0,0.0,2,200.0,1,2,2,4,0,4,3,5,5,4,5,1,2,1,6,572.0,2.0,5,3,5,1,1976.0,1060,0,1,4,2,1,3,3,0,4224,4,44.0,3,0,11,4,0.0,2,1,0,8,10,110,6,5,2,0,3,1,1,4,8,0,1,6,1040.0,1060,100,1976,1976,1,2100.0,11.774520202658689,15.0,11,129900.0
25,1060,0,0,1,3,0,4,2,188.0,668.0,5,0,1.0,0.0,4,204.0,1,2,2,4,0,2,3,9,10,2,5,1,1,1,6,270.0,1.0,5,3,5,1,1968.0,1060,0,1,0,2,1,2,3,0,8246,4,70.0,0,0,0,3,0.0,2,1,0,7,19,90,7,5,2,0,3,1,1,4,8,0,1,6,1060.0,1060,406,1968,2001,4,2120.0,11.944707881395766,14.0,12,154000.0
26,1600,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1566.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,890.0,3.0,5,2,5,1,2007.0,1600,0,1,0,2,1,2,3,0,14230,0,110.0,3,0,0,3,640.0,3,1,0,9,16,56,4,8,2,0,3,1,1,4,8,0,1,7,1566.0,1600,0,2007,2007,3,3166.0,12.454103912352162,15.0,12,256300.0
27,900,0,0,1,3,0,4,2,234.0,486.0,1,5,0.0,1.0,4,180.0,1,2,2,4,0,4,3,13,14,4,3,0,1,1,6,576.0,2.0,5,3,5,5,2005.0,900,0,1,4,2,1,2,3,0,7200,0,60.0,3,0,0,3,0.0,2,1,0,7,12,32,6,5,2,0,3,1,1,4,8,0,1,5,900.0,900,222,1951,2000,4,1800.0,11.811547477460346,15.0,11,134800.0
28,1704,0,0,1,3,0,4,3,1218.0,0.0,2,6,1.0,0.0,0,486.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,772.0,3.0,5,2,5,1,2008.0,1704,0,1,0,2,1,2,3,0,11478,4,98.0,3,0,0,3,200.0,3,1,0,7,16,50,4,8,2,0,3,1,1,4,8,0,1,7,1704.0,1704,0,2007,2008,4,3408.0,12.631340380934516,15.0,12,306000.0
29,1600,0,0,1,2,0,4,1,1277.0,0.0,1,6,1.0,0.0,4,207.0,1,2,2,4,0,4,3,8,8,4,2,2,1,1,6,319.0,1.0,5,2,5,1,1957.0,1600,0,1,4,2,1,3,3,0,16321,1,47.0,0,0,0,3,0.0,2,1,0,3,12,258,5,5,2,0,3,1,1,4,8,0,1,6,1484.0,1600,288,1957,1997,0,3084.0,12.24288661865289,13.0,10,207500.0
30,520,0,0,1,1,0,4,3,0.0,0.0,6,6,0.0,0.0,4,520.0,0,1,7,4,87,4,3,8,8,4,3,0,0,1,6,240.0,1.0,5,3,1,5,1920.0,520,0,1,1,2,1,1,3,0,6324,4,60.0,0,0,1,4,0.0,2,1,0,7,3,0,5,4,2,0,3,1,1,4,8,0,1,4,520.0,520,49,1927,1950,2,1040.0,11.134589024250317,10.0,9,68500.0
31,649,668,0,2,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,649.0,0,1,2,4,172,1,3,3,3,2,3,0,0,1,6,250.0,1.0,1,3,5,5,1920.0,1317,0,1,4,5,1,3,3,0,8500,4,50.0,3,0,6,0,0.0,2,1,0,9,9,54,3,4,0,0,3,1,2,4,8,0,1,6,649.0,649,0,1920,1950,2,1966.0,10.596634733096073,10.0,7,40000.0
32,1228,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,1228.0,1,2,2,4,0,4,3,6,6,2,3,0,1,1,6,271.0,1.0,5,3,5,1,1966.0,1228,1,1,2,2,1,2,3,0,8544,1,70.0,0,0,0,3,0.0,2,1,0,8,19,65,5,5,2,0,3,1,1,4,8,0,1,6,1228.0,1228,0,1966,2006,2,2456.0,11.914047823644257,14.0,10,149350.0
33,1234,0,0,1,3,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1234.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,484.0,2.0,5,2,5,1,2007.0,1234,0,1,0,2,1,2,3,0,11049,0,85.0,3,0,0,3,0.0,2,1,0,0,5,30,4,8,2,0,3,1,1,4,8,0,1,7,1234.0,1234,0,2007,2007,2,2468.0,12.100156419938624,14.0,12,179900.0
34,1700,0,0,1,4,0,4,3,1018.0,0.0,5,6,0.0,1.0,4,380.0,1,2,2,4,0,4,3,3,3,4,2,1,1,1,6,447.0,2.0,5,2,5,1,1959.0,1700,1,1,2,2,1,2,3,0,10552,4,70.0,0,0,0,3,0.0,2,1,0,6,12,38,4,5,2,0,3,1,3,4,8,0,1,6,1398.0,1700,0,1959,1959,4,3098.0,12.016726473799254,14.0,9,165500.0
35,1561,0,0,1,2,4,4,3,1153.0,0.0,2,6,1.0,0.0,0,408.0,1,2,2,4,0,4,0,8,8,4,2,1,2,2,6,556.0,2.0,5,0,5,1,2005.0,1561,0,1,0,2,1,0,3,0,7313,4,60.0,3,0,11,3,246.0,1,1,0,10,16,47,4,9,2,0,3,1,3,4,8,0,1,6,1561.0,1561,203,2005,2005,1,3122.0,12.533576212168624,12.0,13,277500.0
36,1132,1320,0,1,4,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1117.0,1,2,2,4,0,4,2,12,13,4,2,1,2,3,6,691.0,3.0,5,0,5,3,2004.0,2452,1,1,0,5,1,2,3,0,13418,4,108.0,3,0,5,3,132.0,3,1,0,11,16,32,4,8,2,0,3,1,1,4,8,0,1,9,1117.0,1132,113,2004,2005,0,3569.0,12.641096555879884,13.0,12,309000.0
37,1097,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1097.0,1,2,2,4,0,4,3,12,13,4,3,0,2,1,6,672.0,2.0,5,3,5,1,1995.0,1097,1,1,0,2,1,3,3,0,10859,0,112.0,3,0,0,3,0.0,2,1,0,8,5,64,4,5,2,0,3,1,1,4,8,0,1,6,1097.0,1097,392,1994,1995,3,2194.0,11.884489021402711,15.0,9,145000.0
38,1297,0,0,1,3,0,4,3,1213.0,0.0,5,6,0.0,1.0,4,84.0,1,2,2,4,0,4,3,13,14,4,5,1,1,1,6,498.0,2.0,5,0,5,1,1954.0,1297,0,1,2,2,1,3,3,0,8532,4,74.0,3,0,0,3,650.0,1,1,0,1,12,0,5,5,2,0,3,1,3,4,8,0,1,5,1297.0,1297,0,1954,1990,3,2594.0,11.938193200374572,12.0,10,153000.0
39,1057,0,0,1,3,0,4,3,731.0,0.0,2,6,1.0,0.0,4,326.0,1,2,2,4,0,2,3,12,13,4,3,0,1,1,6,246.0,1.0,5,3,5,5,1953.0,1057,0,1,4,2,1,2,3,0,7922,4,68.0,3,0,0,3,0.0,2,1,0,0,12,52,6,5,2,0,3,1,1,0,8,0,1,5,1057.0,1057,0,1953,2007,4,2114.0,11.599103161211278,14.0,11,109000.0
40,1152,0,0,1,2,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,0,2,2,2,0,4,3,0,10,4,3,0,2,2,6,0.0,0.0,3,1,3,6,0.0,1152,0,1,4,2,2,1,3,0,6040,4,65.0,3,0,10,3,0.0,2,1,0,8,7,0,4,4,0,0,3,1,1,1,8,0,1,6,0.0,1152,0,1955,1955,2,1152.0,11.314474526246393,7.0,8,82000.0
41,1324,0,0,1,3,0,4,3,643.0,0.0,5,6,0.0,0.0,4,445.0,1,2,2,4,0,4,3,13,14,1,5,1,1,2,6,440.0,2.0,5,2,5,1,1965.0,1324,0,1,0,2,1,3,3,0,8658,4,84.0,3,0,0,3,101.0,1,1,0,3,12,138,4,6,2,0,3,1,1,0,8,0,1,6,1088.0,1324,0,1965,1965,0,2412.0,11.982929094215965,14.0,10,160000.0
42,1328,0,0,1,2,0,4,1,967.0,0.0,1,6,0.0,1.0,4,383.0,1,2,2,4,0,2,3,12,13,4,2,2,1,1,6,308.0,1.0,5,2,5,1,1959.0,1328,1,1,2,2,1,3,3,0,16905,4,115.0,3,0,0,3,0.0,2,1,0,9,23,104,5,5,1,0,3,1,1,4,8,0,1,5,1350.0,1328,0,1959,1959,1,2678.0,12.0435537160324,13.0,10,170000.0
43,884,0,0,1,2,0,4,0,747.0,93.0,0,3,1.0,0.0,2,0.0,1,2,2,4,0,4,3,6,6,2,3,0,1,1,6,504.0,2.0,2,2,5,1,1983.0,884,0,1,2,6,1,2,3,0,9180,1,70.0,0,0,9,3,0.0,2,1,0,3,20,0,6,5,2,0,3,1,1,4,8,0,1,5,840.0,884,240,1983,1983,1,1724.0,11.877568578558137,11.0,11,144000.0
44,938,0,0,1,3,0,4,0,280.0,491.0,3,1,1.0,0.0,2,167.0,1,2,2,4,0,4,3,12,13,2,3,0,1,1,6,308.0,1.0,5,3,5,5,1977.0,938,0,1,4,2,1,3,3,0,9200,1,70.0,0,0,0,3,0.0,2,1,0,9,5,0,5,5,2,0,3,1,3,4,8,0,1,5,938.0,938,145,1975,1980,2,1876.0,11.777210959615614,14.0,10,130250.0
45,1150,0,0,1,3,0,4,3,179.0,506.0,0,1,1.0,0.0,4,465.0,1,2,2,0,0,4,3,3,14,4,3,0,1,1,6,300.0,1.0,5,2,5,1,1959.0,1150,0,1,0,2,1,3,3,0,7945,4,70.0,3,0,0,3,0.0,2,1,0,7,12,0,5,5,2,0,3,1,1,4,8,0,1,6,1150.0,1150,0,1959,1959,0,2300.0,11.856515169360303,13.0,10,141000.0
46,1752,0,0,1,2,4,4,3,456.0,0.0,2,6,1.0,0.0,0,1296.0,1,2,2,4,0,4,0,8,8,4,2,1,2,2,6,576.0,2.0,5,2,5,1,2005.0,1752,0,1,0,2,1,0,3,0,7658,4,61.0,3,0,11,3,412.0,1,1,0,4,16,82,4,9,2,0,3,1,3,4,8,0,1,6,1752.0,1752,196,2005,2005,4,3504.0,12.675763725937607,14.0,13,319900.0
47,1518,631,0,1,1,0,4,3,1351.0,0.0,2,6,1.0,0.0,0,83.0,1,2,2,4,0,4,2,12,13,4,0,1,2,1,6,670.0,2.0,5,2,5,1,2003.0,2149,1,1,0,0,1,2,3,0,12822,1,48.0,0,0,4,3,0.0,2,1,0,10,11,43,4,7,2,0,3,1,1,0,8,198,1,6,1434.0,1518,168,2003,2003,3,3583.0,12.3870850123755,14.0,11,239686.0
48,1656,0,0,1,3,0,4,0,24.0,0.0,2,6,0.0,0.0,2,1632.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,826.0,3.0,5,2,5,1,2006.0,1656,0,1,0,2,1,2,3,0,11096,4,84.0,3,0,0,1,0.0,2,1,0,9,21,146,4,8,2,0,3,1,1,4,8,0,1,7,1656.0,1656,0,2006,2006,1,3312.0,12.428015476267865,15.0,12,249700.0
49,736,716,0,1,2,1,4,3,0.0,0.0,6,6,0.0,0.0,4,736.0,1,2,2,4,102,4,3,8,8,4,3,0,0,2,6,0.0,0.0,3,1,3,6,0.0,1452,0,1,2,5,3,3,3,0,4456,4,33.0,3,0,14,4,0.0,2,1,0,8,17,0,4,4,0,0,3,1,1,5,6,0,1,8,736.0,736,0,1920,2008,3,2188.0,11.635143097694476,7.0,8,113000.0
50,955,0,0,1,3,0,4,3,763.0,0.0,1,6,1.0,0.0,4,192.0,1,2,2,4,0,4,3,6,6,2,3,0,1,1,6,386.0,1.0,5,3,5,1,1966.0,955,0,1,0,2,1,3,3,0,7742,4,66.0,3,0,0,3,0.0,2,1,0,0,19,0,6,5,2,0,3,1,1,4,8,0,1,6,955.0,955,0,1966,1966,1,1910.0,11.751942365440726,14.0,11,127000.0
51,794,676,0,1,3,0,4,0,182.0,0.0,2,6,0.0,1.0,2,612.0,1,2,2,4,0,4,3,12,13,4,3,0,2,2,6,388.0,2.0,5,0,5,1,1997.0,1470,0,1,2,5,1,3,3,0,13869,0,70.0,1,0,5,3,0.0,2,1,0,9,8,75,5,6,2,0,3,1,1,4,8,0,1,6,794.0,794,0,1997,1997,1,2264.0,12.083905011555967,12.0,11,177000.0
52,816,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,816.0,1,2,2,4,0,4,3,13,14,2,2,1,2,1,6,528.0,2.0,5,3,5,5,1985.0,1176,0,1,4,0,1,3,3,0,6240,4,52.0,3,360,4,4,0.0,2,3,400,11,3,0,5,6,2,0,3,1,1,4,8,0,1,6,816.0,816,112,1934,1950,0,1632.0,11.648330101976432,15.0,11,114500.0
53,816,0,0,1,2,2,4,1,104.0,712.0,3,2,1.0,0.0,2,0.0,0,8,2,4,0,4,1,13,14,4,3,0,1,1,6,516.0,2.0,5,3,5,4,1963.0,816,0,1,4,2,1,3,0,1,8472,0,110.0,1,0,10,4,0.0,2,1,0,7,9,0,4,5,2,0,3,1,1,4,8,0,0,5,816.0,816,106,1963,1963,4,1632.0,11.608235644774554,15.0,9,110000.0
54,1842,0,0,1,0,0,4,1,1810.0,0.0,2,6,2.0,0.0,0,32.0,1,2,2,4,0,4,2,14,15,4,2,1,1,0,6,894.0,3.0,5,0,5,1,1981.0,1842,1,1,2,2,1,2,2,0,50271,4,68.0,0,0,0,3,0.0,2,1,0,2,24,72,4,9,2,0,3,7,1,4,8,0,1,5,1842.0,1842,857,1981,1987,0,3684.0,12.86099861326992,13.0,13,385000.0
55,1360,0,0,1,3,0,4,3,384.0,0.0,0,6,0.0,0.0,4,0.0,1,2,2,4,0,4,3,8,8,2,5,1,1,1,2,572.0,2.0,5,3,5,5,1962.0,1360,0,1,4,7,1,3,0,1,7134,4,60.0,3,0,8,3,0.0,2,1,0,4,12,50,4,5,2,0,3,1,1,4,8,0,1,6,384.0,1360,0,1955,1955,1,1744.0,11.77528972943772,15.0,9,130000.0
56,1425,0,407,1,3,0,4,3,490.0,0.0,1,6,0.0,0.0,4,935.0,1,2,2,4,0,4,3,6,10,4,2,1,1,2,6,576.0,2.0,5,2,5,1,1964.0,1425,0,1,2,2,1,3,3,0,10175,4,100.0,0,0,0,3,272.0,1,1,0,9,12,0,4,6,2,0,3,1,1,4,8,0,1,7,1425.0,1425,0,1964,1964,2,2850.0,12.103486056755074,14.0,10,180500.0
57,983,756,0,2,3,3,4,3,649.0,0.0,2,6,1.0,0.0,2,321.0,1,2,2,4,0,4,2,8,8,4,3,0,2,2,6,480.0,2.0,5,0,5,1,1999.0,1739,1,1,0,5,1,2,3,0,2645,4,24.0,3,0,12,1,456.0,1,1,0,10,21,0,4,8,2,0,3,1,1,0,8,0,1,7,970.0,983,115,1999,2000,3,2709.0,12.058152515453553,12.0,12,172500.0
58,860,860,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,860.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,565.0,2.0,5,2,5,1,2004.0,1720,1,1,0,5,1,2,3,0,11645,0,89.0,0,0,5,3,0.0,2,1,0,10,5,70,4,7,2,0,3,1,1,4,8,0,1,7,860.0,860,0,2004,2004,0,2580.0,12.188417710291452,14.0,11,196500.0
59,1426,1519,0,1,3,0,4,1,0.0,0.0,6,6,0.0,0.0,0,1410.0,1,2,2,4,37,4,0,12,13,4,2,1,2,3,6,641.0,3.0,5,0,5,3,2006.0,2945,1,1,0,5,1,2,1,0,13682,1,66.0,1,0,5,3,1031.0,1,1,0,1,22,0,4,10,2,0,3,1,3,5,6,0,1,10,1410.0,1426,192,2006,2006,0,4355.0,12.991753427493052,13.0,14,438780.0
60,780,0,0,1,2,0,4,0,632.0,0.0,0,6,0.0,0.0,4,148.0,1,2,2,4,0,4,3,6,6,2,3,0,1,1,6,352.0,1.0,5,3,5,5,1973.0,780,0,1,0,2,1,3,0,0,7200,4,60.0,3,0,0,3,0.0,2,1,0,0,5,0,6,5,2,0,3,1,1,4,8,0,1,4,780.0,780,196,1972,1972,2,1560.0,11.73526869611367,14.0,11,124900.0
